timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1692855510732,941,HTTP Request,200,OK,Thread Group 1-65,text,true,,3947,238,47,47,https://www.saucedemo.com/,680,0,600
1692855510732,680,HTTP Request-0,301,Moved Permanently,Thread Group 1-65,text,true,,654,119,47,47,http://www.saucedemo.com/,680,0,600
1692855511412,261,HTTP Request-1,200,OK,Thread Group 1-65,text,true,,3293,119,47,47,https://www.saucedemo.com/,261,0,174
1692855510690,996,HTTP Request,200,OK,Thread Group 1-64,text,true,,3948,238,46,46,https://www.saucedemo.com/,671,0,591
1692855510690,671,HTTP Request-0,301,Moved Permanently,Thread Group 1-64,text,true,,655,119,46,46,http://www.saucedemo.com/,671,0,591
1692855511362,324,HTTP Request-1,200,OK,Thread Group 1-64,text,true,,3293,119,46,46,https://www.saucedemo.com/,324,0,221
1692855510725,964,HTTP Request,200,OK,Thread Group 1-67,text,true,,3949,238,45,45,https://www.saucedemo.com/,708,0,606
1692855510725,708,HTTP Request-0,301,Moved Permanently,Thread Group 1-67,text,true,,655,119,45,45,http://www.saucedemo.com/,708,0,606
1692855511434,255,HTTP Request-1,200,OK,Thread Group 1-67,text,true,,3294,119,45,45,https://www.saucedemo.com/,255,0,173
1692855510694,1008,HTTP Request,200,OK,Thread Group 1-61,text,true,,3947,238,44,44,https://www.saucedemo.com/,679,0,607
1692855510694,679,HTTP Request-0,301,Moved Permanently,Thread Group 1-61,text,true,,654,119,44,44,http://www.saucedemo.com/,679,0,607
1692855511374,328,HTTP Request-1,200,OK,Thread Group 1-61,text,true,,3293,119,44,44,https://www.saucedemo.com/,328,0,215
1692855510730,974,HTTP Request,200,OK,Thread Group 1-62,text,true,,3947,238,43,43,https://www.saucedemo.com/,670,0,601
1692855510730,670,HTTP Request-0,301,Moved Permanently,Thread Group 1-62,text,true,,654,119,43,43,http://www.saucedemo.com/,670,0,601
1692855511401,303,HTTP Request-1,200,OK,Thread Group 1-62,text,true,,3293,119,43,43,https://www.saucedemo.com/,303,0,199
1692855510325,1528,HTTP Request,200,OK,Thread Group 1-27,text,true,,3947,238,42,42,https://www.saucedemo.com/,145,0,72
1692855510325,145,HTTP Request-0,301,Moved Permanently,Thread Group 1-27,text,true,,654,119,42,42,http://www.saucedemo.com/,145,0,72
1692855510471,1382,HTTP Request-1,200,OK,Thread Group 1-27,text,true,,3293,119,42,42,https://www.saucedemo.com/,1382,0,1255
1692855510861,1004,HTTP Request,200,OK,Thread Group 1-78,text,true,,3948,238,41,41,https://www.saucedemo.com/,711,0,622
1692855510861,711,HTTP Request-0,301,Moved Permanently,Thread Group 1-78,text,true,,654,119,41,41,http://www.saucedemo.com/,711,0,622
1692855511573,292,HTTP Request-1,200,OK,Thread Group 1-78,text,true,,3294,119,41,41,https://www.saucedemo.com/,292,0,157
1692855510905,975,HTTP Request,200,OK,Thread Group 1-83,text,true,,3947,238,40,40,https://www.saucedemo.com/,695,0,602
1692855510905,695,HTTP Request-0,301,Moved Permanently,Thread Group 1-83,text,true,,654,119,40,40,http://www.saucedemo.com/,695,0,602
1692855511601,279,HTTP Request-1,200,OK,Thread Group 1-83,text,true,,3293,119,40,40,https://www.saucedemo.com/,279,0,179
1692855510919,979,HTTP Request,200,OK,Thread Group 1-86,text,true,,3950,238,39,39,https://www.saucedemo.com/,660,0,588
1692855510919,661,HTTP Request-0,301,Moved Permanently,Thread Group 1-86,text,true,,654,119,39,39,http://www.saucedemo.com/,660,0,588
1692855511580,318,HTTP Request-1,200,OK,Thread Group 1-86,text,true,,3296,119,39,39,https://www.saucedemo.com/,318,0,229
1692855510337,1576,HTTP Request,200,OK,Thread Group 1-29,text,true,,3947,238,38,38,https://www.saucedemo.com/,163,0,86
1692855510337,163,HTTP Request-0,301,Moved Permanently,Thread Group 1-29,text,true,,654,119,38,38,http://www.saucedemo.com/,163,0,86
1692855510501,1412,HTTP Request-1,200,OK,Thread Group 1-29,text,true,,3293,119,38,38,https://www.saucedemo.com/,1412,0,1309
1692855510783,1145,HTTP Request,200,OK,Thread Group 1-72,text,true,,3947,238,37,37,https://www.saucedemo.com/,259,0,162
1692855510783,259,HTTP Request-0,301,Moved Permanently,Thread Group 1-72,text,true,,654,119,37,37,http://www.saucedemo.com/,259,0,162
1692855511043,885,HTTP Request-1,200,OK,Thread Group 1-72,text,true,,3293,119,37,37,https://www.saucedemo.com/,885,0,796
1692855510861,1082,HTTP Request,200,OK,Thread Group 1-79,text,true,,3947,238,36,36,https://www.saucedemo.com/,713,0,622
1692855510861,713,HTTP Request-0,301,Moved Permanently,Thread Group 1-79,text,true,,654,119,36,36,http://www.saucedemo.com/,713,0,622
1692855511574,369,HTTP Request-1,200,OK,Thread Group 1-79,text,true,,3293,119,36,36,https://www.saucedemo.com/,369,0,252
